基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类,年化收益率,年化波动率,夏普比率,Beta,Alpha,数据起止,交易日数,计算状态
560080,汇添富中证中药ETF,指数型,60.18%,39.82%,24.52 亿,截至2025-06-30，汇添富中证中药ETF 的基金机构持有10.39亿份，占总份额的60.18%，个人投资者持有6.87亿份，占总份额的39.82%,中药,-0.031803442813022276,0.25548346756443313,-0.2223370590454993,0.8495355212984336,-0.0014519142384972206,2022-10-18 至 2025-02-28,574.0,成功
560050,汇添富MSCI中国A,指数型,61.51%,38.49%,40.40 亿,截至2025-06-30，汇添富MSCI中国A50互联互通ETF 的基金机构持有32.46亿份，占总份额的61.51%，个人投资者持有20.31亿份，占总份额的38.49%,MSCI,-0.057188270414941234,0.19177758614720358,-0.428560355076404,1.003823407148775,0.011474395176813479,2021-11-09 至 2025-02-28,801.0,成功
512670,鹏华中证国防ETF,指数型,63.21%,36.79%,37.27 亿,截至2025-06-30，鹏华中证国防ETF 的基金机构持有46.13亿份，占总份额的63.21%，个人投资者持有26.85亿份，占总份额的36.79%,军工,-0.06858602373617428,0.3914011688378289,-0.23910512074875848,0.9903067790712492,-0.01195642717823664,2019-08-02 至 2025-02-28,1349.0,成功
516020,华宝化工ETF,指数型,61.26%,38.74%,37.93 亿,截至2025-06-30，华宝化工ETF 的基金机构持有4.43亿份，占总份额的61.26%，个人投资者持有2.80亿份，占总份额的38.74%,化工,-0.09138665129482804,0.23754760850609397,-0.4899508440719254,1.0040438678016785,-0.02453660905220445,2021-03-09 至 2025-02-28,964.0,成功
561300,国泰沪深300增强策,指数型,69.81%,28.60%,6.50 亿,截至2025-06-30，国泰沪深300增强策略ETF 的基金机构持有12.22亿份，占总份额的69.81%，个人投资者持有5.01亿份，占总份额的28.60%,沪深300,-0.06240176146109022,0.17754830799922425,-0.4922703147442672,0.905709495880695,0.015436296718700948,2021-12-13 至 2025-02-28,777.0,成功
588700,嘉实上证科创板生物医,指数型,52.12%,47.88%,2.51 亿,截至2025-06-30，嘉实上证科创板生物医药ETF 的基金机构持有1.04亿份，占总份额的52.12%，个人投资者持有0.96亿份，占总份额的47.88%,生物医药,-0.01076761837515161,0.42684284658486304,-0.08379575448276945,1.677266765485183,-0.19379233868321322,2024-01-08 至 2025-02-28,274.0,成功
517330,易方达中证长江保护主,指数型,99.76%,0.24%,16.71 亿,截至2025-06-30，易方达中证长江保护主题ETF 的基金机构持有18.22亿份，占总份额的99.76%，个人投资者持有0.04亿份，占总份额的0.24%,环保,-0.0975522099062579,0.19656164207722412,-0.623479782785444,0.9101387286407747,-0.030760037158062303,2022-01-06 至 2025-02-28,756.0,成功
517160,南方中证长江保护主题,指数型,98.34%,0.20%,16.52 亿,截至2025-06-30，南方中证长江保护主题ETF 的基金机构持有18.08亿份，占总份额的98.34%，个人投资者持有0.04亿份，占总份额的0.20%,环保,-0.09909983264744004,0.1973976020934677,-0.6286795347629339,0.9283569428936367,-0.03293714711692386,2022-01-06 至 2025-02-28,757.0,成功
159954,南方恒生中国企业ET,指数型,26.44%,16.18%,3.37 亿,截至2025-06-30，南方恒生中国企业ETF 的基金机构持有1.12亿份，占总份额的26.44%，个人投资者持有0.68亿份，占总份额的16.18%,国央企,-0.005212503488045028,0.22688233887295636,-0.13316375191707908,0.8153594427984723,0.010235320992177721,2018-03-16 至 2025-02-28,1687.0,成功
513970,景顺长城恒生消费ET,指数型,46.01%,33.32%,29.35 亿,截至2025-06-30，景顺长城恒生消费ETF(QDII) 的基金机构持有7.95亿份，占总份额的46.01%，个人投资者持有5.76亿份，占总份额的33.32%,消费,-0.04582110349870461,0.24601793283706933,-0.2878696795879811,0.8555974323875256,-0.025213108340930823,2023-04-24 至 2025-02-28,447.0,成功
