基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类
513030,华安德国(DAX)E,指数型,57.77%,42.23%,17.73 亿,截至2025-06-30，华安德国(DAX)ETF(QDII) 的基金机构持有4.22亿份，占总份额的57.77%，个人投资者持有3.08亿份，占总份额的42.23%,海外
159941,广发纳斯达克100E,指数型,70.38%,29.62%,297.75 亿,截至2025-06-30，广发纳斯达克100ETF 的基金机构持有153.78亿份，占总份额的70.38%，个人投资者持有64.72亿份，占总份额的29.62%,海外
513080,华安法国CAC40E,指数型,71.42%,28.58%,10.30 亿,截至2025-06-30，华安法国CAC40ETF(QDII) 的基金机构持有3.73亿份，占总份额的71.42%，个人投资者持有1.49亿份，占总份额的28.58%,海外
159632,华安纳斯达克100E,指数型,76.86%,23.14%,97.80 亿,截至2025-06-30，华安纳斯达克100ETF(QDII) 的基金机构持有41.18亿份，占总份额的76.86%，个人投资者持有12.40亿份，占总份额的23.14%,海外
159655,华夏标普500ETF,指数型,49.88%,38.74%,35.00 亿,截至2025-06-30，华夏标普500ETF(QDII) 的基金机构持有10.03亿份，占总份额的49.88%，个人投资者持有7.79亿份，占总份额的38.74%,海外
159659,招商纳斯达克100E,指数型,50.84%,49.16%,79.26 亿,截至2025-06-30，招商纳斯达克100ETF(QDII) 的基金机构持有14.52亿份，占总份额的50.84%，个人投资者持有14.04亿份，占总份额的49.16%,海外
159660,汇添富纳斯达克100,指数型,62.02%,37.98%,37.72 亿,截至2025-06-30，汇添富纳斯达克100ETF 的基金机构持有9.97亿份，占总份额的62.02%，个人投资者持有6.11亿份，占总份额的37.98%,海外
159513,大成纳斯达克100E,指数型,83.34%,16.66%,59.73 亿,截至2025-06-30，大成纳斯达克100ETF(QDII) 的基金机构持有36.63亿份，占总份额的83.34%，个人投资者持有7.32亿份，占总份额的16.66%,海外
159501,嘉实纳斯达克100E,指数型,55.68%,44.32%,100.72 亿,截至2025-06-30，嘉实纳斯达克100ETF(QDII) 的基金机构持有26.09亿份，占总份额的55.68%，个人投资者持有20.77亿份，占总份额的44.32%,海外
159696,易方达纳斯达克100,指数型,54.61%,45.39%,39.70 亿,截至2025-06-30，易方达纳斯达克100ETF(QDII) 的基金机构持有10.27亿份，占总份额的54.61%，个人投资者持有8.53亿份，占总份额的45.39%,海外
159561,嘉实德国DAXETF,指数型,62.62%,37.38%,20.36 亿,截至2025-06-30，嘉实德国DAXETF(QDII) 的基金机构持有6.94亿份，占总份额的62.62%，个人投资者持有4.14亿份，占总份额的37.38%,海外
520580,招商利安新兴亚洲精选,指数型,62.86%,37.14%,3.91 亿,截至2025-06-30，招商利安新兴亚洲精选ETF(QDII) 的基金机构持有2.97亿份，占总份额的62.86%，个人投资者持有1.75亿份，占总份额的37.14%,海外
159100,华夏布拉德斯科巴西伊,指数型,69.32%,30.68%,3.00 亿,截至2025-11-06，华夏布拉德斯科巴西伊博维斯帕ETF(QDII) 的基金机构持有2.08亿份，占总份额的69.32%，个人投资者持有0.92亿份，占总份额的30.68%,海外
520870,易方达伊塔乌巴西IB,指数型,64.43%,35.57%,3.00 亿,截至2025-11-06，易方达伊塔乌巴西IBOVESPAETF(QDII) 的基金机构持有1.93亿份，占总份额的64.43%，个人投资者持有1.07亿份，占总份额的35.57%,海外
