基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类
560860,万家中证工业有色金属,指数型,53.77%,40.87%,87.60 亿,截至2025-06-30，万家中证工业有色金属主题ETF 的基金机构持有2.60亿份，占总份额的53.77%，个人投资者持有1.98亿份，占总份额的40.87%,有色
159952,广发创业板ETF,指数型,83.54%,16.46%,137.26 亿,截至2025-06-30，广发创业板ETF 的基金机构持有64.22亿份，占总份额的83.54%，个人投资者持有12.65亿份，占总份额的16.46%,创业板
159958,工银瑞信创业板ETF,指数型,72.49%,27.51%,6.07 亿,截至2025-06-30，工银瑞信创业板ETF 的基金机构持有2.44亿份，占总份额的72.49%，个人投资者持有0.93亿份，占总份额的27.51%,创业板
560780,广发中证半导体材料设,指数型,62.82%,37.18%,14.79 亿,截至2025-06-30，广发中证半导体材料设备主题ETF 的基金机构持有1.03亿份，占总份额的62.82%，个人投资者持有0.61亿份，占总份额的37.18%,材料
562660,华夏中证2000ET,指数型,24.53%,21.18%,3.04 亿,截至2025-06-30，华夏中证2000ETF 的基金机构持有0.34亿份，占总份额的24.53%，个人投资者持有0.29亿份，占总份额的21.18%,中证2000
513000,易方达奥明日经225,指数型,54.92%,45.08%,16.28 亿,截至2025-06-30，易方达奥明日经225ETF(QDII) 的基金机构持有4.39亿份，占总份额的54.92%，个人投资者持有3.60亿份，占总份额的45.08%,海外
515110,易方达中证国企一带一,指数型,97.02%,2.98%,3.45 亿,截至2025-06-30，易方达中证国企一带一路ETF 的基金机构持有2.02亿份，占总份额的97.02%，个人投资者持有0.06亿份，占总份额的2.98%,一带一路
513090,易方达中证香港证券投,指数型,53.62%,46.38%,303.25 亿,截至2025-06-30，易方达中证香港证券投资主题ETF 的基金机构持有28.45亿份，占总份额的53.62%，个人投资者持有24.61亿份，占总份额的46.38%,证券
159905,工银深证红利ETF,指数型,53.79%,46.21%,19.03 亿,截至2025-06-30，工银深证红利ETF 的基金机构持有7.87亿份，占总份额的53.79%，个人投资者持有6.76亿份，占总份额的46.21%,红利
159337,中证500ETF基金,指数型,92.25%,7.75%,5.85 亿,截至2025-06-30，中证500ETF基金 的基金机构持有10.48亿份，占总份额的92.25%，个人投资者持有0.88亿份，占总份额的7.75%,中证500
515680,嘉实中证央企创新驱动,指数型,98.99%,1.01%,18.56 亿,截至2025-06-30，嘉实中证央企创新驱动ETF 的基金机构持有12.36亿份，占总份额的98.99%，个人投资者持有0.13亿份，占总份额的1.01%,创新
515600,广发央企创新ETF,指数型,98.09%,1.91%,18.43 亿,截至2025-06-30，广发央企创新ETF 的基金机构持有12.00亿份，占总份额的98.09%，个人投资者持有0.23亿份，占总份额的1.91%,创新
